Iter,Loss
1.000000000000000000e+00,1.443838500976562500e+02
2.000000000000000000e+00,1.428766174316406250e+02
3.000000000000000000e+00,1.413793029785156250e+02
4.000000000000000000e+00,1.398920898437500000e+02
5.000000000000000000e+00,1.384151458740234375e+02
6.000000000000000000e+00,1.369485931396484375e+02
7.000000000000000000e+00,1.354925994873046875e+02
8.000000000000000000e+00,1.340473175048828125e+02
9.000000000000000000e+00,1.326127929687500000e+02
1.000000000000000000e+01,1.311891479492187500e+02
1.100000000000000000e+01,1.297765502929687500e+02
1.200000000000000000e+01,1.283750305175781250e+02
1.300000000000000000e+01,1.269847106933593750e+02
1.400000000000000000e+01,1.256056518554687500e+02
1.500000000000000000e+01,1.242379379272460938e+02
1.600000000000000000e+01,1.228816299438476562e+02
1.700000000000000000e+01,1.215367736816406250e+02
1.800000000000000000e+01,1.202034149169921875e+02
1.900000000000000000e+01,1.188816070556640625e+02
2.000000000000000000e+01,1.175713500976562500e+02
2.100000000000000000e+01,1.162726745605468750e+02
2.200000000000000000e+01,1.149855880737304688e+02
2.300000000000000000e+01,1.137100982666015625e+02
2.400000000000000000e+01,1.124462203979492188e+02
2.500000000000000000e+01,1.111939315795898438e+02
2.600000000000000000e+01,1.099532165527343750e+02
2.700000000000000000e+01,1.087240982055664062e+02
2.800000000000000000e+01,1.075065155029296875e+02
2.900000000000000000e+01,1.063004760742187500e+02
3.000000000000000000e+01,1.051059417724609375e+02
3.100000000000000000e+01,1.039228897094726562e+02
3.200000000000000000e+01,1.027512817382812500e+02
3.300000000000000000e+01,1.015910644531250000e+02
3.400000000000000000e+01,1.004422302246093750e+02
3.500000000000000000e+01,9.930468750000000000e+01
3.600000000000000000e+01,9.817841339111328125e+01
3.700000000000000000e+01,9.706334686279296875e+01
3.800000000000000000e+01,9.595943450927734375e+01
3.900000000000000000e+01,9.486660766601562500e+01
4.000000000000000000e+01,9.378479003906250000e+01
4.100000000000000000e+01,9.271395874023437500e+01
4.200000000000000000e+01,9.165398406982421875e+01
4.300000000000000000e+01,9.060483551025390625e+01
4.400000000000000000e+01,8.956643676757812500e+01
4.500000000000000000e+01,8.853870391845703125e+01
4.600000000000000000e+01,8.752156066894531250e+01
4.700000000000000000e+01,8.651493835449218750e+01
4.800000000000000000e+01,8.551875305175781250e+01
4.900000000000000000e+01,8.453293609619140625e+01
5.000000000000000000e+01,8.355738067626953125e+01
5.100000000000000000e+01,8.259204101562500000e+01
5.200000000000000000e+01,8.163682556152343750e+01
5.300000000000000000e+01,8.069164276123046875e+01
5.400000000000000000e+01,7.975642395019531250e+01
5.500000000000000000e+01,7.883108520507812500e+01
5.600000000000000000e+01,7.791554260253906250e+01
5.700000000000000000e+01,7.700971221923828125e+01
5.800000000000000000e+01,7.611353302001953125e+01
5.900000000000000000e+01,7.522689819335937500e+01
6.000000000000000000e+01,7.434974670410156250e+01
6.100000000000000000e+01,7.348199462890625000e+01
6.200000000000000000e+01,7.262355041503906250e+01
6.300000000000000000e+01,7.177433776855468750e+01
6.400000000000000000e+01,7.093428039550781250e+01
6.500000000000000000e+01,7.010330200195312500e+01
6.600000000000000000e+01,6.928131103515625000e+01
6.700000000000000000e+01,6.846823120117187500e+01
6.800000000000000000e+01,6.766399383544921875e+01
6.900000000000000000e+01,6.686850738525390625e+01
7.000000000000000000e+01,6.608171081542968750e+01
7.100000000000000000e+01,6.530350494384765625e+01
7.200000000000000000e+01,6.453382110595703125e+01
7.300000000000000000e+01,6.377259826660156250e+01
7.400000000000000000e+01,6.301974487304687500e+01
7.500000000000000000e+01,6.227516937255859375e+01
7.600000000000000000e+01,6.153882598876953125e+01
7.700000000000000000e+01,6.081062316894531250e+01
7.800000000000000000e+01,6.009049606323242188e+01
7.900000000000000000e+01,5.937836456298828125e+01
8.000000000000000000e+01,5.867416381835937500e+01
8.100000000000000000e+01,5.797781372070312500e+01
8.200000000000000000e+01,5.728924560546875000e+01
8.300000000000000000e+01,5.660838699340820312e+01
8.400000000000000000e+01,5.593515777587890625e+01
8.500000000000000000e+01,5.526950836181640625e+01
8.600000000000000000e+01,5.461135101318359375e+01
8.700000000000000000e+01,5.396064376831054688e+01
8.800000000000000000e+01,5.331728744506835938e+01
8.900000000000000000e+01,5.268122863769531250e+01
9.000000000000000000e+01,5.205239486694335938e+01
9.100000000000000000e+01,5.143071746826171875e+01
9.200000000000000000e+01,5.081614685058593750e+01
9.300000000000000000e+01,5.020861053466796875e+01
9.400000000000000000e+01,4.960803604125976562e+01
9.500000000000000000e+01,4.901436614990234375e+01
9.600000000000000000e+01,4.842752838134765625e+01
9.700000000000000000e+01,4.784746551513671875e+01
9.800000000000000000e+01,4.727411651611328125e+01
9.900000000000000000e+01,4.670741271972656250e+01
1.000000000000000000e+02,4.614729309082031250e+01
1.010000000000000000e+02,4.559370040893554688e+01
1.020000000000000000e+02,4.504657745361328125e+01
1.030000000000000000e+02,4.450586318969726562e+01
1.040000000000000000e+02,4.397148132324218750e+01
1.050000000000000000e+02,4.344339752197265625e+01
1.060000000000000000e+02,4.292153167724609375e+01
1.070000000000000000e+02,4.240583038330078125e+01
1.080000000000000000e+02,4.189624786376953125e+01
1.090000000000000000e+02,4.139271545410156250e+01
1.100000000000000000e+02,4.089517211914062500e+01
1.110000000000000000e+02,4.040357208251953125e+01
1.120000000000000000e+02,3.991785430908203125e+01
1.130000000000000000e+02,3.943796539306640625e+01
1.140000000000000000e+02,3.896384429931640625e+01
1.150000000000000000e+02,3.849544525146484375e+01
1.160000000000000000e+02,3.803269958496093750e+01
1.170000000000000000e+02,3.757557296752929688e+01
1.180000000000000000e+02,3.712399291992187500e+01
1.190000000000000000e+02,3.667791748046875000e+01
1.200000000000000000e+02,3.623728942871093750e+01
1.210000000000000000e+02,3.580205535888671875e+01
1.220000000000000000e+02,3.537216949462890625e+01
1.230000000000000000e+02,3.494757080078125000e+01
1.240000000000000000e+02,3.452821350097656250e+01
1.250000000000000000e+02,3.411405181884765625e+01
1.260000000000000000e+02,3.370503234863281250e+01
1.270000000000000000e+02,3.330109786987304688e+01
1.280000000000000000e+02,3.290220642089843750e+01
1.290000000000000000e+02,3.250830078125000000e+01
1.300000000000000000e+02,3.211933898925781250e+01
1.310000000000000000e+02,3.173527526855468750e+01
1.320000000000000000e+02,3.135604858398437500e+01
1.330000000000000000e+02,3.098162651062011719e+01
1.340000000000000000e+02,3.061194610595703125e+01
1.350000000000000000e+02,3.024696922302246094e+01
1.360000000000000000e+02,2.988665008544921875e+01
1.370000000000000000e+02,2.953093719482421875e+01
1.380000000000000000e+02,2.917978668212890625e+01
1.390000000000000000e+02,2.883315086364746094e+01
1.400000000000000000e+02,2.849098205566406250e+01
1.410000000000000000e+02,2.815324401855468750e+01
1.420000000000000000e+02,2.781988906860351562e+01
1.430000000000000000e+02,2.749086761474609375e+01
1.440000000000000000e+02,2.716613769531250000e+01
1.450000000000000000e+02,2.684565925598144531e+01
1.460000000000000000e+02,2.652938079833984375e+01
1.470000000000000000e+02,2.621726417541503906e+01
1.480000000000000000e+02,2.590926361083984375e+01
1.490000000000000000e+02,2.560533905029296875e+01
1.500000000000000000e+02,2.530544662475585938e+01
1.510000000000000000e+02,2.500954437255859375e+01
1.520000000000000000e+02,2.471759033203125000e+01
1.530000000000000000e+02,2.442955017089843750e+01
1.540000000000000000e+02,2.414537429809570312e+01
1.550000000000000000e+02,2.386502265930175781e+01
1.560000000000000000e+02,2.358845520019531250e+01
1.570000000000000000e+02,2.331563568115234375e+01
1.580000000000000000e+02,2.304652023315429688e+01
1.590000000000000000e+02,2.278107070922851562e+01
1.600000000000000000e+02,2.251924133300781250e+01
1.610000000000000000e+02,2.226099777221679688e+01
1.620000000000000000e+02,2.200630760192871094e+01
1.630000000000000000e+02,2.175512123107910156e+01
1.640000000000000000e+02,2.150740623474121094e+01
1.650000000000000000e+02,2.126312446594238281e+01
1.660000000000000000e+02,2.102223587036132812e+01
1.670000000000000000e+02,2.078470993041992188e+01
1.680000000000000000e+02,2.055050277709960938e+01
1.690000000000000000e+02,2.031957626342773438e+01
1.700000000000000000e+02,2.009189987182617188e+01
1.710000000000000000e+02,1.986743545532226562e+01
1.720000000000000000e+02,1.964614486694335938e+01
1.730000000000000000e+02,1.942799186706542969e+01
1.740000000000000000e+02,1.921294784545898438e+01
1.750000000000000000e+02,1.900096511840820312e+01
1.760000000000000000e+02,1.879201889038085938e+01
1.770000000000000000e+02,1.858606719970703125e+01
1.780000000000000000e+02,1.838308525085449219e+01
1.790000000000000000e+02,1.818302917480468750e+01
1.800000000000000000e+02,1.798587036132812500e+01
1.810000000000000000e+02,1.779157257080078125e+01
1.820000000000000000e+02,1.760010528564453125e+01
1.830000000000000000e+02,1.741142845153808594e+01
1.840000000000000000e+02,1.722551727294921875e+01
1.850000000000000000e+02,1.704233169555664062e+01
1.860000000000000000e+02,1.686184883117675781e+01
1.870000000000000000e+02,1.668403053283691406e+01
1.880000000000000000e+02,1.650884056091308594e+01
1.890000000000000000e+02,1.633625793457031250e+01
1.900000000000000000e+02,1.616624259948730469e+01
1.910000000000000000e+02,1.599876594543457031e+01
1.920000000000000000e+02,1.583380031585693359e+01
1.930000000000000000e+02,1.567131328582763672e+01
1.940000000000000000e+02,1.551127243041992188e+01
1.950000000000000000e+02,1.535364532470703125e+01
1.960000000000000000e+02,1.519840812683105469e+01
1.970000000000000000e+02,1.504552555084228516e+01
1.980000000000000000e+02,1.489497280120849609e+01
1.990000000000000000e+02,1.474671936035156250e+01
2.000000000000000000e+02,1.460073566436767578e+01
2.010000000000000000e+02,1.445699310302734375e+01
2.020000000000000000e+02,1.431546115875244141e+01
2.030000000000000000e+02,1.417611694335937500e+01
2.040000000000000000e+02,1.403892707824707031e+01
2.050000000000000000e+02,1.390386581420898438e+01
2.060000000000000000e+02,1.377090644836425781e+01
